CMDLINE /home/jack/anaconda3/bin/python main.py
MEM 0.660156 1660098903.0499
MEM 22.230469 1660098903.1502
MEM 34.792969 1660098903.2504
MEM 63.390625 1660098903.3507
MEM 99.558594 1660098903.4510
MEM 145.410156 1660098903.5513
MEM 166.402344 1660098903.6515
MEM 179.410156 1660098903.7518
MEM 191.632812 1660098903.8521
MEM 209.531250 1660098903.9523
MEM 211.828125 1660098904.0526
MEM 219.304688 1660098904.1528
MEM 221.484375 1660098904.2531
MEM 223.027344 1660098904.3534
MEM 229.089844 1660098904.4537
MEM 232.957031 1660098904.5539
MEM 241.285156 1660098904.6542
MEM 248.718750 1660098904.7545
MEM 250.949219 1660098904.8548
MEM 250.949219 1660098904.9551
MEM 250.949219 1660098905.0554
MEM 250.949219 1660098905.1557
MEM 250.949219 1660098905.2559
MEM 250.949219 1660098905.3562
MEM 250.949219 1660098905.4566
MEM 250.949219 1660098905.5568
MEM 250.949219 1660098905.6571
MEM 250.949219 1660098905.7574
MEM 250.949219 1660098905.8576
MEM 250.949219 1660098905.9579
MEM 250.949219 1660098906.0581
MEM 250.949219 1660098906.1584
MEM 250.949219 1660098906.2587
MEM 250.949219 1660098906.3590
MEM 250.949219 1660098906.4593
MEM 250.949219 1660098906.5595
MEM 250.949219 1660098906.6599
MEM 250.949219 1660098906.7602
MEM 250.949219 1660098906.8606
MEM 250.949219 1660098906.9610
MEM 250.949219 1660098907.0613
MEM 254.156250 1660098907.1617
MEM 255.277344 1660098907.2620
MEM 256.730469 1660098907.3622
MEM 256.730469 1660098907.4626
MEM 284.824219 1660098907.5630
MEM 296.800781 1660098907.6634
MEM 298.070312 1660098907.7703
MEM 298.089844 1660098907.8708
MEM 298.089844 1660098907.9712
MEM 299.835938 1660098908.0715
MEM 298.687500 1660098908.1721
MEM 294.937500 1660098908.2725
MEM 294.945312 1660098908.3728
MEM 294.949219 1660098908.4731
MEM 296.785156 1660098908.5734
MEM 295.332031 1660098908.6737
MEM 295.339844 1660098908.7740
MEM 295.339844 1660098908.8743
MEM 295.523438 1660098908.9746
MEM 299.800781 1660098909.0749
MEM 298.777344 1660098909.1751
MEM 298.785156 1660098909.2755
MEM 298.785156 1660098909.3759
MEM 302.832031 1660098909.4762
MEM 302.988281 1660098909.5766
MEM 297.851562 1660098909.6769
MEM 297.863281 1660098909.7773
MEM 297.863281 1660098909.8778
MEM 301.675781 1660098909.9809
MEM 300.261719 1660098910.0813
MEM 301.292969 1660098910.1816
MEM 301.304688 1660098910.2819
MEM 301.304688 1660098910.3825
MEM 301.363281 1660098910.4828
MEM 296.968750 1660098910.5832
MEM 299.765625 1660098910.6837
MEM 299.800781 1660098910.7840
MEM 299.800781 1660098910.8844
