CMDLINE /home/jack/anaconda3/bin/python utility.py
MEM 0.679688 1660109335.7534
MEM 22.292969 1660109335.8537
MEM 34.792969 1660109335.9540
MEM 48.750000 1660109336.0542
MEM 79.683594 1660109336.1545
MEM 87.324219 1660109336.2548
MEM 89.324219 1660109336.3551
MEM 93.996094 1660109336.4553
MEM 95.285156 1660109336.5557
MEM 133.402344 1660109336.6560
MEM 154.968750 1660109336.7564
MEM 199.246094 1660109336.8566
MEM 212.105469 1660109336.9569
MEM 220.351562 1660109337.0572
MEM 222.414062 1660109337.1575
MEM 233.109375 1660109337.2579
MEM 245.308594 1660109337.3583
MEM 245.308594 1660109337.4586
MEM 245.824219 1660109337.5589
MEM 278.816406 1660109337.6593
MEM 279.480469 1660109337.7596
MEM 279.480469 1660109337.8599
MEM 279.480469 1660109337.9601
MEM 279.480469 1660109338.0603
MEM 279.480469 1660109338.1606
MEM 280.449219 1660109338.2609
MEM 280.707031 1660109338.3611
MEM 280.707031 1660109338.4614
MEM 280.964844 1660109338.5617
MEM 281.570312 1660109338.6620
MEM 297.152344 1660109338.7622
MEM 297.152344 1660109338.8625
MEM 297.152344 1660109338.9628
MEM 297.152344 1660109339.0631
MEM 297.152344 1660109339.1634
MEM 297.152344 1660109339.2636
MEM 297.152344 1660109339.3639
MEM 297.152344 1660109339.4642
MEM 297.152344 1660109339.5644
MEM 297.152344 1660109339.6647
MEM 297.152344 1660109339.7650
MEM 297.152344 1660109339.8652
MEM 297.152344 1660109339.9655
MEM 297.152344 1660109340.0658
MEM 297.152344 1660109340.1661
MEM 298.007812 1660109340.2663
MEM 298.007812 1660109340.3666
MEM 298.007812 1660109340.4669
MEM 298.007812 1660109340.5671
MEM 298.308594 1660109340.6674
MEM 298.308594 1660109340.7676
MEM 298.308594 1660109340.8680
MEM 299.597656 1660109340.9683
MEM 300.371094 1660109341.0686
MEM 303.253906 1660109341.1689
MEM 307.812500 1660109341.2691
MEM 308.585938 1660109341.3694
MEM 308.843750 1660109341.4697
MEM 308.843750 1660109341.5700
MEM 308.843750 1660109341.6702
MEM 309.101562 1660109341.7705
MEM 309.101562 1660109341.8708
MEM 309.101562 1660109341.9710
MEM 309.101562 1660109342.0714
MEM 309.101562 1660109342.1716
MEM 309.101562 1660109342.2719
MEM 310.289062 1660109342.3723
MEM 310.289062 1660109342.4726
MEM 310.289062 1660109342.5729
MEM 310.289062 1660109342.6732
MEM 310.289062 1660109342.7735
MEM 310.289062 1660109342.8738
MEM 310.289062 1660109342.9741
MEM 310.289062 1660109343.0744
MEM 299.175781 1660109343.1747
MEM 299.175781 1660109343.2750
MEM 299.175781 1660109343.3753
MEM 299.175781 1660109343.4756
MEM 299.175781 1660109343.5759
MEM 299.175781 1660109343.6762
MEM 299.175781 1660109343.7764
MEM 283.914062 1660109343.8770
MEM 283.914062 1660109343.9773
MEM 283.914062 1660109344.0776
MEM 283.914062 1660109344.1780
MEM 283.914062 1660109344.2783
MEM 283.914062 1660109344.3786
MEM 283.914062 1660109344.4788
MEM 283.914062 1660109344.5797
MEM 283.914062 1660109344.6801
MEM 283.914062 1660109344.7807
MEM 283.914062 1660109344.8812
MEM 283.914062 1660109344.9817
MEM 283.914062 1660109345.0824
MEM 283.914062 1660109345.1827
MEM 290.613281 1660109345.2832
MEM 302.214844 1660109345.3835
MEM 302.214844 1660109345.4838
MEM 302.214844 1660109345.5841
MEM 302.472656 1660109345.6844
MEM 302.730469 1660109345.7847
MEM 302.730469 1660109345.8850
MEM 318.199219 1660109345.9855
MEM 318.199219 1660109346.0858
MEM 318.199219 1660109346.1861
MEM 318.199219 1660109346.2864
MEM 318.457031 1660109346.3867
MEM 318.457031 1660109346.4870
MEM 318.457031 1660109346.5873
MEM 318.457031 1660109346.6875
MEM 318.457031 1660109346.7878
MEM 318.457031 1660109346.8881
MEM 318.457031 1660109346.9883
MEM 318.714844 1660109347.0886
MEM 318.714844 1660109347.1889
MEM 318.714844 1660109347.2892
MEM 318.714844 1660109347.3895
MEM 318.714844 1660109347.4897
MEM 318.714844 1660109347.5900
MEM 319.652344 1660109347.6903
MEM 334.343750 1660109347.7905
MEM 334.343750 1660109347.8908
MEM 334.343750 1660109347.9912
MEM 334.343750 1660109348.0915
MEM 334.343750 1660109348.1918
MEM 334.343750 1660109348.2921
MEM 334.343750 1660109348.3923
MEM 334.343750 1660109348.4926
MEM 334.343750 1660109348.5929
MEM 334.343750 1660109348.6932
MEM 334.343750 1660109348.7935
MEM 334.343750 1660109348.8937
MEM 334.343750 1660109348.9940
MEM 334.343750 1660109349.0943
MEM 334.343750 1660109349.1946
MEM 299.781250 1660109349.2949
MEM 299.781250 1660109349.3953
MEM 299.781250 1660109349.4956
MEM 295.523438 1660109349.5959
